band,domain,valid_pixel_count,mean,std_population,minimum,maximum,p01,p50,p99,clip_lower_db,clip_upper_db
VV,linear_sigma0,125774516,0.2225686533558397,1.9857176607260074,5.958498583424898e-09,2757.4501953125,0.011560968710109592,0.11718375608325005,1.8342503702640445,,
VV,db_unclipped,125774516,-9.310362224940123,3.9781240743634325,-82.24863159568328,34.40507677015658,-19.370056991577147,-9.311325550079346,2.6345860838889865,,
VV,db_clipped_p01_p99,125774516,-9.321410476299294,3.7878212854222064,-19.370056991577147,2.6345860838889865,,,,-19.370056991577147,2.6345860838889865
VH,linear_sigma0,125774516,0.03932959940957292,0.24142956491059772,1.2808815119669248e-09,474.7709045410156,0.002127555632032454,0.02607958484441042,0.25611572504043467,,
VH,db_unclipped,125774516,-16.13528781381685,3.9109812945668527,-88.92491042838418,26.764840961619463,-26.721191463470458,-15.836993217468262,-5.915637598037739,,
VH,db_clipped_p01_p99,125774516,-16.144641942904,3.764255822885403,-26.721191463470458,-5.915637598037739,,,,-26.721191463470458,-5.915637598037739
