city_id,code_2021,class_2021,intersecting_feature_count,area_m2,area_hectares,fraction_of_sar_aoi,fraction_of_ua_covered_area
DE14,11210,Discontinuous dense urban fabric (S.L. : 50% -  80%),6400,140780190.27007097,14078.019027007096,0.15634271230868999,0.156342712308691
DE14,12100,"Industrial, commercial, public, military and private units",4013,117317964.4366237,11731.796443662372,0.13028685873608697,0.13028685873608783
DE14,31000,Forests,324,108714647.3038237,10871.46473038237,0.12073248938331499,0.12073248938331577
DE14,11220,Discontinuous medium density urban fabric (S.L. : 30% - 50%),3812,97466882.09649877,9746.688209649878,0.10824134189622184,0.10824134189622253
DE14,21000,Arable land (annual crops),319,85005994.15698306,8500.599415698307,0.09440296723213602,0.09440296723213663
DE14,14110,Green urban areas (Public access),1392,70279163.09446704,7027.916309446704,0.07804816115033814,0.07804816115033864
DE14,12220,Other roads and associated land,61,58650931.08299372,5865.093108299372,0.06513448822134958,0.06513448822135001
DE14,14200,Sports and leisure facilities,1946,57674095.42778027,5767.409542778027,0.06404966843581776,0.06404966843581818
DE14,11100,Continuous urban fabric (S.L. : > 80%),2800,47117823.715786055,4711.782371578605,0.05232645547414628,0.05232645547414661
DE14,23000,Pastures,223,32923230.103349052,3292.323010334905,0.03656272294025298,0.036562722940253214
DE14,50000,Water,256,27265274.805349,2726.5274805349,0.03027930994220486,0.030279309942205058
DE14,12230,Railways and associated land,102,14706600.253743008,1470.6600253743009,0.016332338861731608,0.016332338861731716
DE14,11230,Discontinuous low density urban fabric (S.L. : 10% - 30%),658,14557982.529952178,1455.7982529952178,0.016167292217100514,0.016167292217100622
DE14,32000,"Herbaceous vegetation associations (natural grassland, moors...)",194,7887736.3450930305,788.7736345093031,0.008759684809360898,0.008759684809360953
DE14,12210,Fast transit roads and associated land,65,5553299.349682546,555.3299349682546,0.006167187875835905,0.006167187875835945
DE14,12400,Airports,2,4712603.628823725,471.2603628823725,0.005233557590401348,0.005233557590401383
DE14,13400,Land without current use,155,2489943.740809918,248.9943740809918,0.0027651941454793437,0.002765194145479362
DE14,13300,Construction sites,77,2011423.3139827393,201.14233139827394,0.0022337757599681977,0.002233775759968212
DE14,40000,Wetlands,26,1290836.9515848684,129.08369515848685,0.0014335323014687223,0.0014335323014687317
DE14,12300,Port areas,15,1250830.966781454,125.0830966781454,0.0013891038619223116,0.0013891038619223204
DE14,13100,Mineral extraction and dump sites,30,1232473.8403047984,123.24738403047985,0.0013687174500411497,0.0013687174500411586
DE14,14130,Green urban areas (Unknown access conditions),92,1023803.0321805655,102.38030321805655,0.0011369791631472125,0.00113697916314722
DE14,11240,Discontinuous very low density urban fabric (S.L. : < 10%),36,303150.5686677978,30.315056866779777,0.0003366622963964075,0.0003366622963964097
DE14,11300,Isolated structures,24,140631.48178392113,14.063148178392114,0.00015617756486839044,0.00015617756486839145
DE14,24000,Complex and mixed cultivation patterns,1,68693.66834943602,6.869366834943602,7.628739816007797e-05,7.628739816007846e-05
DE14,14120,Green urban areas (Private access),3,32716.359221437066,3.2716359221437066,3.6332983552106354e-05,3.633298355210659e-05
