probability_min,agreement_min,observation_min,target_class_id,target_class_name,accepted_pixel_count,accepted_fraction_all_pixels,profile_total_accepted_fraction
0.5,0.6,3,0,unknown,0,0.0,0.8250113333333333
0.5,0.6,3,1,buildings,5109240,0.5676933333333334,0.8250113333333333
0.5,0.6,3,2,roads,0,0.0,0.8250113333333333
0.5,0.6,3,3,vegetation,2114820,0.23498,0.8250113333333333
0.5,0.6,3,4,bare_land,1515,0.00016833333333333332,0.8250113333333333
0.5,0.6,3,5,water,199527,0.022169666666666667,0.8250113333333333
0.6,0.7,3,0,unknown,0,0.0,0.7254275555555556
0.6,0.7,3,1,buildings,4675065,0.5194516666666666,0.7254275555555556
0.6,0.7,3,2,roads,0,0.0,0.7254275555555556
0.6,0.7,3,3,vegetation,1677209,0.18635655555555555,0.7254275555555556
0.6,0.7,3,4,bare_land,4,4.4444444444444444e-07,0.7254275555555556
0.6,0.7,3,5,water,176570,0.01961888888888889,0.7254275555555556
0.7,0.8,3,0,unknown,0,0.0,0.5181311111111111
0.7,0.8,3,1,buildings,3349129,0.37212544444444445,0.5181311111111111
0.7,0.8,3,2,roads,0,0.0,0.5181311111111111
0.7,0.8,3,3,vegetation,1202646,0.13362733333333332,0.5181311111111111
0.7,0.8,3,4,bare_land,0,0.0,0.5181311111111111
0.7,0.8,3,5,water,111405,0.012378333333333333,0.5181311111111111
0.6,0.7,5,0,unknown,0,0.0,0.7254275555555556
0.6,0.7,5,1,buildings,4675065,0.5194516666666666,0.7254275555555556
0.6,0.7,5,2,roads,0,0.0,0.7254275555555556
0.6,0.7,5,3,vegetation,1677209,0.18635655555555555,0.7254275555555556
0.6,0.7,5,4,bare_land,4,4.4444444444444444e-07,0.7254275555555556
0.6,0.7,5,5,water,176570,0.01961888888888889,0.7254275555555556
0.7,0.8,5,0,unknown,0,0.0,0.5181311111111111
0.7,0.8,5,1,buildings,3349129,0.37212544444444445,0.5181311111111111
0.7,0.8,5,2,roads,0,0.0,0.5181311111111111
0.7,0.8,5,3,vegetation,1202646,0.13362733333333332,0.5181311111111111
0.7,0.8,5,4,bare_land,0,0.0,0.5181311111111111
0.7,0.8,5,5,water,111405,0.012378333333333333,0.5181311111111111
