band,valid_pixel_count,clip_lower_db,clip_upper_db,mean_db,std_db
VV_M01,125820018,-19.283422355651854,4.0769976997375394,-8.839496916244487,3.7242281832905206
VH_M01,125820018,-26.661636734008788,-4.842015762329112,-15.871256257177716,3.7498943706318877
VV_M02,125848808,-18.750726375579834,3.889307205677023,-9.27905259358199,3.7669999215284253
VH_M02,125848808,-27.422382354736328,-4.844146146774369,-16.48971916650478,4.092173858884926
VV_M03,125830316,-19.93239097595215,3.6902210068702552,-9.599869616842287,3.959346835457953
VH_M03,125830316,-28.3596813583374,-4.937134656906151,-16.760226289567726,4.479697459764419
VV_M04,125820930,-20.29702388763428,3.5852798604964162,-10.022957531163641,4.294005426290182
VH_M04,125820930,-28.26105354309082,-4.955935759544409,-16.773168186632134,4.492347859031937
VV_M05,125866570,-21.245697593688966,3.2429957747459084,-10.410278453882087,4.534673626769763
VH_M05,125866570,-28.169217109680176,-5.281630258560186,-17.188070077017045,4.34744742961737
VV_M06,125829767,-19.976364574432374,3.350447883605952,-9.483168058038249,3.961083799923019
VH_M06,125829767,-26.71125280380249,-5.1528881502151735,-16.008975809398105,3.6888975308972185
VV_M07,125841691,-20.186214084625245,3.3078341364860377,-9.39269837655683,3.821954583901412
VH_M07,125841691,-26.766084327697754,-5.254796876907394,-16.140250439053283,3.6472192102881578
VV_M08,125828161,-20.338528690338133,3.2858586597442567,-9.677576161982088,3.9123313250198093
VH_M08,125828161,-27.375618934631348,-5.256173343658453,-16.69529307827555,3.979168939373217
VV_M09,125845059,-20.205715713500975,3.3629901146888312,-9.315469714515158,3.763919737687688
VH_M09,125845059,-27.07988363265991,-5.276714115142827,-16.41135647115654,3.6635429776374497
VV_M10,125840321,-19.411527652740478,3.6874340939521706,-9.01220324876561,3.6391987443505935
VH_M10,125840321,-26.740051670074465,-5.167128038406384,-16.100341928970092,3.5048142418846417
VV_M11,125854100,-20.526601409912107,3.716729283332806,-9.001396607852143,3.6724040872892525
VH_M11,125854100,-26.789912452697752,-5.055969386100862,-15.892871483677554,3.5822765742375893
VV_M12,125846523,-19.961460609436035,3.723563423156728,-9.046529368506345,3.6887535840132277
VH_M12,125846523,-26.739242553710938,-5.057099990844755,-15.96227383990913,3.7009935250930224
