variant,city_id,city_name,split,road_policy,stable_bare,buildings_pixels,roads_pixels,vegetation_pixels,bare_land_pixels,water_pixels,ignore_pixels,valid_pixels,total_pixels,removed_valid_pixels_vs_v3,retained_valid_fraction_vs_v3,retained_road_fraction_vs_v3,retained_bare_fraction_vs_v3
v3_control,DE06,Nuremberg,train,none,0,489212,363936,5798613,18994,49940,2279305,6720695,9000000,0,1.0,1.0,1.0
v31_priority_classes_min_2m,DE06,Nuremberg,train,priority_classes_min_2m,0,489212,269522,5798613,18994,49940,2373719,6626281,9000000,94414,0.9859517505258013,0.7405752659808318,1.0
v31_priority_classes_min_6m,DE06,Nuremberg,train,priority_classes_min_6m,0,489212,260054,5798613,18994,49940,2383187,6616813,9000000,103882,0.984542967654387,0.7145597028048888,1.0
v31_priority_classes_min_8m,DE06,Nuremberg,train,priority_classes_min_8m,0,489212,185555,5798613,18994,49940,2457686,6542314,9000000,178381,0.9734579533813095,0.5098561285500748,1.0
v31_priority_classes_min_10m,DE06,Nuremberg,train,priority_classes_min_10m,0,489212,30298,5798613,18994,49940,2612943,6387057,9000000,333638,0.9503566223433737,0.08325090125736394,1.0
v31_major_classes_min_2m,DE06,Nuremberg,train,major_classes_min_2m,0,489212,75305,5798613,18994,49940,2567936,6432064,9000000,288631,0.9570533999831863,0.20691824936252529,1.0
v31_stable_bare_only,DE06,Nuremberg,train,none,1,489212,363936,5798613,17891,49940,2280408,6719592,9000000,1103,0.9998358800689512,1.0,0.9419290302200695
v3_control,DE07,Frankfurt,train,none,0,655850,462725,4961370,11153,97083,2811819,6188181,9000000,0,1.0,1.0,1.0
v31_priority_classes_min_2m,DE07,Frankfurt,train,priority_classes_min_2m,0,655850,332441,4961370,11153,97083,2942103,6057897,9000000,130284,0.9789463171810908,0.7184418391053001,1.0
v31_priority_classes_min_6m,DE07,Frankfurt,train,priority_classes_min_6m,0,655850,317959,4961370,11153,97083,2956585,6043415,9000000,144766,0.976606049499845,0.6871446323410233,1.0
v31_priority_classes_min_8m,DE07,Frankfurt,train,priority_classes_min_8m,0,655850,228339,4961370,11153,97083,3046205,5953795,9000000,234386,0.9621236030426389,0.493465881463072,1.0
v31_priority_classes_min_10m,DE07,Frankfurt,train,priority_classes_min_10m,0,655850,41886,4961370,11153,97083,3232658,5767342,9000000,420839,0.9319931010421317,0.09052028742773786,1.0
v31_major_classes_min_2m,DE07,Frankfurt,train,major_classes_min_2m,0,655850,104279,4961370,11153,97083,3170265,5829735,9000000,358446,0.9420757085159597,0.22535847425576747,1.0
v31_stable_bare_only,DE07,Frankfurt,train,none,1,655850,462725,4961370,7597,97083,2815375,6184625,9000000,3556,0.9994253561749405,1.0,0.6811620191876625
v3_control,DE08,Cologne,train,none,0,758441,524385,4251618,66087,291069,3108400,5891600,9000000,0,1.0,1.0,1.0
v31_priority_classes_min_2m,DE08,Cologne,train,priority_classes_min_2m,0,758441,347682,4251618,66087,291069,3285103,5714897,9000000,176703,0.9700076379930749,0.6630281186532796,1.0
v31_priority_classes_min_6m,DE08,Cologne,train,priority_classes_min_6m,0,758441,320061,4251618,66087,291069,3312724,5687276,9000000,204324,0.9653194378437097,0.610354987270803,1.0
v31_priority_classes_min_8m,DE08,Cologne,train,priority_classes_min_8m,0,758441,224923,4251618,66087,291069,3407862,5592138,9000000,299462,0.9491713626179645,0.4289272195047532,1.0
v31_priority_classes_min_10m,DE08,Cologne,train,priority_classes_min_10m,0,758441,43347,4251618,66087,291069,3589438,5410562,9000000,481038,0.918351890827619,0.08266254755570812,1.0
v31_major_classes_min_2m,DE08,Cologne,train,major_classes_min_2m,0,758441,106554,4251618,66087,291069,3526231,5473769,9000000,417831,0.9290802159006043,0.2031980319803198,1.0
v31_stable_bare_only,DE08,Cologne,train,none,1,758441,524385,4251618,64429,291069,3110058,5889942,9000000,1658,0.9997185823884853,1.0,0.9749118586106194
v3_control,DE09,Dusseldorf,train,none,0,722402,504515,4291704,17192,290969,3173218,5826782,9000000,0,1.0,1.0,1.0
v31_priority_classes_min_2m,DE09,Dusseldorf,train,priority_classes_min_2m,0,722402,337756,4291704,17192,290969,3339977,5660023,9000000,166759,0.971380600818771,0.6694667155585067,1.0
v31_priority_classes_min_6m,DE09,Dusseldorf,train,priority_classes_min_6m,0,722402,321773,4291704,17192,290969,3355960,5644040,9000000,182742,0.9686375773111128,0.6377867853284838,1.0
v31_priority_classes_min_8m,DE09,Dusseldorf,train,priority_classes_min_8m,0,722402,226382,4291704,17192,290969,3451351,5548649,9000000,278133,0.9522664482728203,0.44871212947087796,1.0
v31_priority_classes_min_10m,DE09,Dusseldorf,train,priority_classes_min_10m,0,722402,33636,4291704,17192,290969,3644097,5355903,9000000,470879,0.9191871259298872,0.06666997016937058,1.0
v31_major_classes_min_2m,DE09,Dusseldorf,train,major_classes_min_2m,0,722402,102255,4291704,17192,290969,3575478,5424522,9000000,402260,0.9309636090727266,0.20267980139341743,1.0
v31_stable_bare_only,DE09,Dusseldorf,train,none,1,722402,504515,4291704,14706,290969,3175704,5824296,9000000,2486,0.9995733494062418,1.0,0.8553978594695207
v3_control,DE10,Dortmund,train,none,0,665587,545651,4325951,36767,113663,3312381,5687619,9000000,0,1.0,1.0,1.0
v31_priority_classes_min_2m,DE10,Dortmund,train,priority_classes_min_2m,0,665587,357813,4325951,36767,113663,3500219,5499781,9000000,187838,0.9669742294622758,0.6557543191527185,1.0
v31_priority_classes_min_6m,DE10,Dortmund,train,priority_classes_min_6m,0,665587,340079,4325951,36767,113663,3517953,5482047,9000000,205572,0.9638562287663783,0.6232536914621251,1.0
v31_priority_classes_min_8m,DE10,Dortmund,train,priority_classes_min_8m,0,665587,236939,4325951,36767,113663,3621093,5378907,9000000,308712,0.9457221026935876,0.4342317708571963,1.0
v31_priority_classes_min_10m,DE10,Dortmund,train,priority_classes_min_10m,0,665587,26100,4325951,36767,113663,3831932,5168068,9000000,519551,0.9086522849016434,0.04783277222986854,1.0
v31_major_classes_min_2m,DE10,Dortmund,train,major_classes_min_2m,0,665587,94951,4325951,36767,113663,3763081,5236919,9000000,450700,0.9207577019487416,0.17401415923364935,1.0
v31_stable_bare_only,DE10,Dortmund,train,none,1,665587,545651,4325951,28713,113663,3320435,5679565,9000000,8054,0.9985839417162085,1.0,0.7809448690401719
v3_control,DE11,Hamburg,train,none,0,804953,546455,3395726,35529,461811,3755526,5244474,9000000,0,1.0,1.0,1.0
v31_priority_classes_min_2m,DE11,Hamburg,train,priority_classes_min_2m,0,804953,358636,3395726,35529,461811,3943345,5056655,9000000,187819,0.9641872569107979,0.6562955778609401,1.0
v31_priority_classes_min_6m,DE11,Hamburg,train,priority_classes_min_6m,0,804953,339408,3395726,35529,461811,3962573,5037427,9000000,207047,0.9605209216405687,0.6211087829738954,1.0
v31_priority_classes_min_8m,DE11,Hamburg,train,priority_classes_min_8m,0,804953,222379,3395726,35529,461811,4079602,4920398,9000000,324076,0.9382061957023716,0.4069484221024604,1.0
v31_priority_classes_min_10m,DE11,Hamburg,train,priority_classes_min_10m,0,804953,45162,3395726,35529,461811,4256819,4743181,9000000,501293,0.9044150090171102,0.08264541453550613,1.0
v31_major_classes_min_2m,DE11,Hamburg,train,major_classes_min_2m,0,804953,93367,3395726,35529,461811,4208614,4791386,9000000,453088,0.913606588573039,0.17085944862797486,1.0
v31_stable_bare_only,DE11,Hamburg,train,none,1,804953,546455,3395726,31777,461811,3759278,5240722,9000000,3752,0.9992845803030008,1.0,0.8943961271074333
v3_control,DE12,Bremen,train,none,0,492834,350300,5175135,12528,214548,2754655,6245345,9000000,0,1.0,1.0,1.0
v31_priority_classes_min_2m,DE12,Bremen,train,priority_classes_min_2m,0,492834,245991,5175135,12528,214548,2858964,6141036,9000000,104309,0.9832981204401038,0.7022295175563803,1.0
v31_priority_classes_min_6m,DE12,Bremen,train,priority_classes_min_6m,0,492834,233965,5175135,12528,214548,2870990,6129010,9000000,116335,0.9813725262575567,0.6678989437624893,1.0
v31_priority_classes_min_8m,DE12,Bremen,train,priority_classes_min_8m,0,492834,146920,5175135,12528,214548,2958035,6041965,9000000,203380,0.9674349455474437,0.419411932629175,1.0
v31_priority_classes_min_10m,DE12,Bremen,train,priority_classes_min_10m,0,492834,22272,5175135,12528,214548,3082683,5917317,9000000,328028,0.947476400423035,0.06357978875249785,1.0
v31_major_classes_min_2m,DE12,Bremen,train,major_classes_min_2m,0,492834,54784,5175135,12528,214548,3050171,5949829,9000000,295516,0.9526821977008476,0.15639166428775336,1.0
v31_stable_bare_only,DE12,Bremen,train,none,1,492834,350300,5175135,10415,214548,2756768,6243232,9000000,2113,0.9996616680103341,1.0,0.831337803320562
v3_control,DE13,Hanover,train,none,0,484416,348984,5070650,34381,125878,2935691,6064309,9000000,0,1.0,1.0,1.0
v31_priority_classes_min_2m,DE13,Hanover,train,priority_classes_min_2m,0,484416,237031,5070650,34381,125878,3047644,5952356,9000000,111953,0.9815390343730835,0.6792030580198519,1.0
v31_priority_classes_min_6m,DE13,Hanover,train,priority_classes_min_6m,0,484416,225239,5070650,34381,125878,3059436,5940564,9000000,123745,0.9795945424284943,0.6454135433143067,1.0
v31_priority_classes_min_8m,DE13,Hanover,train,priority_classes_min_8m,0,484416,158777,5070650,34381,125878,3125898,5874102,9000000,190207,0.9686350085393076,0.4549692822593586,1.0
v31_priority_classes_min_10m,DE13,Hanover,train,priority_classes_min_10m,0,484416,25868,5070650,34381,125878,3258807,5741193,9000000,323116,0.9467184142496696,0.07412374206267336,1.0
v31_major_classes_min_2m,DE13,Hanover,train,major_classes_min_2m,0,484416,63247,5070650,34381,125878,3221428,5778572,9000000,285737,0.9528821832792491,0.18123180432340738,1.0
v31_stable_bare_only,DE13,Hanover,train,none,1,484416,348984,5070650,32750,125878,2937322,6062678,9000000,1631,0.9997310493248283,1.0,0.9525610075332306
v3_control,DE14,Berlin,train,none,0,1036023,707524,2789508,10137,256938,4199870,4800130,9000000,0,1.0,1.0,1.0
v31_priority_classes_min_2m,DE14,Berlin,train,priority_classes_min_2m,0,1036023,462086,2789508,10137,256938,4445308,4554692,9000000,245438,0.9488684681456544,0.6531029336107327,1.0
v31_priority_classes_min_6m,DE14,Berlin,train,priority_classes_min_6m,0,1036023,440598,2789508,10137,256938,4466796,4533204,9000000,266926,0.9443919227187597,0.6227322324048371,1.0
v31_priority_classes_min_8m,DE14,Berlin,train,priority_classes_min_8m,0,1036023,317198,2789508,10137,256938,4590196,4409804,9000000,390326,0.9186842856339308,0.4483211876911596,1.0
v31_priority_classes_min_10m,DE14,Berlin,train,priority_classes_min_10m,0,1036023,69927,2789508,10137,256938,4837467,4162533,9000000,637597,0.867170889121753,0.09883339646428956,1.0
v31_major_classes_min_2m,DE14,Berlin,train,major_classes_min_2m,0,1036023,124608,2789508,10137,256938,4782786,4217214,9000000,582916,0.8785624556001608,0.1761184072907774,1.0
v31_stable_bare_only,DE14,Berlin,train,none,1,1036023,707524,2789508,7154,256938,4202853,4797147,9000000,2983,0.999378558497374,1.0,0.705731478741245
v3_control,DE15,Leipzig,val,none,0,363897,323762,5566212,32637,348516,2364976,6635024,9000000,0,1.0,1.0,1.0
v31_priority_classes_min_2m,DE15,Leipzig,val,priority_classes_min_2m,0,363897,223165,5566212,32637,348516,2465573,6534427,9000000,100597,0.9848384873965791,0.6892871924438322,1.0
v31_priority_classes_min_6m,DE15,Leipzig,val,priority_classes_min_6m,0,363897,210628,5566212,32637,348516,2478110,6521890,9000000,113134,0.982948968986397,0.650564303408059,1.0
v31_priority_classes_min_8m,DE15,Leipzig,val,priority_classes_min_8m,0,363897,147206,5566212,32637,348516,2541532,6458468,9000000,176556,0.9733902997185843,0.45467349472760854,1.0
v31_priority_classes_min_10m,DE15,Leipzig,val,priority_classes_min_10m,0,363897,35402,5566212,32637,348516,2653336,6346664,9000000,288360,0.9565397201276137,0.10934575397977526,1.0
v31_major_classes_min_2m,DE15,Leipzig,val,major_classes_min_2m,0,363897,64505,5566212,32637,348516,2624233,6375767,9000000,259257,0.9609259891147341,0.19923585843922387,1.0
v31_stable_bare_only,DE15,Leipzig,val,none,1,363897,323762,5566212,32059,348516,2365554,6634446,9000000,578,0.9999128865246003,1.0,0.9822900389128902
v3_control,DE16,Dresden,val,none,0,378823,365957,5822201,18430,117488,2297101,6702899,9000000,0,1.0,1.0,1.0
v31_priority_classes_min_2m,DE16,Dresden,val,priority_classes_min_2m,0,378823,247663,5822201,18430,117488,2415395,6584605,9000000,118294,0.9823518152369594,0.6767543727815016,1.0
v31_priority_classes_min_6m,DE16,Dresden,val,priority_classes_min_6m,0,378823,236742,5822201,18430,117488,2426316,6573684,9000000,129215,0.9807225202110311,0.6469120689042702,1.0
v31_priority_classes_min_8m,DE16,Dresden,val,priority_classes_min_8m,0,378823,172283,5822201,18430,117488,2490775,6509225,9000000,193674,0.9711059349096562,0.4707738887355618,1.0
v31_priority_classes_min_10m,DE16,Dresden,val,priority_classes_min_10m,0,378823,52676,5822201,18430,117488,2610382,6389618,9000000,313281,0.9532618647543398,0.14394040829933571,1.0
v31_major_classes_min_2m,DE16,Dresden,val,major_classes_min_2m,0,378823,57444,5822201,18430,117488,2605614,6394386,9000000,308513,0.9539731987607153,0.1569692614159587,1.0
v31_stable_bare_only,DE16,Dresden,val,none,1,378823,365957,5822201,17312,117488,2298219,6701781,9000000,1118,0.9998332064976662,1.0,0.9393380358111775
v3_control,DE17,Munster,val,none,0,273960,270793,6940919,7332,52263,1454733,7545267,9000000,0,1.0,1.0,1.0
v31_priority_classes_min_2m,DE17,Munster,val,priority_classes_min_2m,0,273960,194166,6940919,7332,52263,1531360,7468640,9000000,76627,0.9898443620351672,0.7170273973108611,1.0
v31_priority_classes_min_6m,DE17,Munster,val,priority_classes_min_6m,0,273960,179255,6940919,7332,52263,1546271,7453729,9000000,91538,0.9878681562892341,0.6619631969807196,1.0
v31_priority_classes_min_8m,DE17,Munster,val,priority_classes_min_8m,0,273960,86179,6940919,7332,52263,1639347,7360653,9000000,184614,0.9755324761867273,0.31824677890492,1.0
v31_priority_classes_min_10m,DE17,Munster,val,priority_classes_min_10m,0,273960,17398,6940919,7332,52263,1708128,7291872,9000000,253395,0.9664166953932843,0.06424833729084578,1.0
v31_major_classes_min_2m,DE17,Munster,val,major_classes_min_2m,0,273960,48864,6940919,7332,52263,1676662,7323338,9000000,221929,0.9705869918188449,0.18044779591791515,1.0
v31_stable_bare_only,DE17,Munster,val,none,1,273960,270793,6940919,6246,52263,1455819,7544181,9000000,1086,0.9998560687116838,1.0,0.8518821603927987
