city_id,city_name,split,highway,width_bin,policy_group,feature_count,total_length_m,median_width_m,min_width_m,max_width_m,rasterized_pixel_count,existing_osm_road_overlap_pixels,existing_osm_road_overlap_fraction,vv_road_median,vv_ring_median,vv_median_difference,vv_robust_effect,vh_road_median,vh_ring_median,vh_median_difference,vh_robust_effect
DE01,Mannheim,train,living_street,one_to_two_pixels_10_20m,likely_ignore_candidate,11,327.252301697501,12.0,10.5,12.5,43,42,0.9767441860465116,0.3092957139015198,0.2709158658981323,0.03837984800338745,0.17862803564144009,0.11267565935850143,0.10493971407413483,0.007735945284366608,0.10672320603068276
DE01,Mannheim,train,living_street,subpixel_lt_10m,likely_ignore_candidate,12251,278531.3130444679,6.0,2.0,9.0,16547,16412,0.9918414214056929,0.2497594803571701,0.2524372339248657,-0.0026777535676956177,-0.013179217289394052,0.05361652746796608,0.0571601465344429,-0.003543619066476822,-0.07014730348946392
DE01,Mannheim,train,motorway,one_to_two_pixels_10_20m,retain_major_candidate,639,69399.68740974169,11.5,10.5,18.5,8341,8337,0.9995204411941014,0.0525866337120533,0.06353922933340073,-0.010952595621347427,-0.2418239604904575,0.010522289201617241,0.012433384545147419,-0.001911095343530178,-0.2516237335417912
DE01,Mannheim,train,motorway,subpixel_lt_10m,retain_major_candidate,2416,252031.6898534629,7.5,3.2,9.600000000000001,18417,18410,0.999619916381604,0.053070176392793655,0.058881327509880066,-0.0058111511170864105,-0.1498514520351028,0.010456406511366367,0.01159911509603262,-0.0011427085846662521,-0.1460315820518503
DE01,Mannheim,train,motorway_link,one_to_two_pixels_10_20m,retain_major_candidate,4,41.03916549984423,10.0,10.0,10.0,4,4,1.0,0.05360901355743408,0.05694238096475601,-0.00333336740732193,-0.21661319083440211,0.012731233611702919,0.01250686589628458,0.00022436771541833878,0.11237897987409942
DE01,Mannheim,train,motorway_link,subpixel_lt_10m,retain_major_candidate,5593,116191.6004729929,3.2,3.0,9.600000000000001,5143,5142,0.9998055609566401,0.06281618773937225,0.06773684173822403,-0.004920653998851776,-0.09460475339326524,0.011828428134322166,0.013072637841105461,-0.0012442097067832947,-0.12511441850115557
DE01,Mannheim,train,pedestrian,subpixel_lt_10m,likely_ignore_candidate,5658,62536.942791388814,5.0,5.0,6.0,3040,2639,0.8680921052631579,0.30146655440330505,0.3086029589176178,-0.007136404514312744,-0.01793569416457399,0.0650755912065506,0.06532064825296402,-0.00024505704641342163,-0.002444401587586474
DE01,Mannheim,train,primary,one_to_two_pixels_10_20m,retain_major_candidate,607,16059.872957556008,12.8,10.0,19.200000000000003,2282,2276,0.9973707274320771,0.1167202740907669,0.13332760334014893,-0.01660732924938202,-0.11745928127291617,0.02075761929154396,0.02416018769145012,-0.0034025683999061584,-0.1267385495161048
DE01,Mannheim,train,primary,subpixel_lt_10m,retain_major_candidate,4133,119690.45043909783,6.4,3.2,9.600000000000001,8211,8208,0.999634636463281,0.11077019572257996,0.11528317630290985,-0.004512980580329895,-0.03567306449882195,0.021514976397156715,0.023205969482660294,-0.0016909930855035782,-0.0696976662342831
DE01,Mannheim,train,primary_link,one_to_two_pixels_10_20m,retain_major_candidate,2,15.398822030113227,13.65,12.8,14.5,5,5,1.0,0.03616749867796898,0.046090688556432724,-0.009923189878463745,-0.5619890646005473,0.0073427618481218815,0.008409451693296432,-0.001066689845174551,-0.7218337553774385
DE01,Mannheim,train,primary_link,subpixel_lt_10m,retain_major_candidate,1256,15329.161373826162,3.2,3.2,9.600000000000001,722,722,1.0,0.10686995089054108,0.10968654602766037,-0.002816595137119293,-0.030458999592308324,0.01940694823861122,0.020493492484092712,-0.001086544245481491,-0.06690414169042334
DE01,Mannheim,train,residential,one_to_two_pixels_10_20m,manual_review_candidate,169,4439.95759902749,11.5,10.0,16.0,522,522,1.0,0.29958420991897583,0.3044012188911438,-0.004817008972167969,-0.01388166982664059,0.033608775585889816,0.039153892546892166,-0.00554511696100235,-0.12475249698847764
DE01,Mannheim,train,residential,subpixel_lt_10m,manual_review_candidate,71592,2090587.5173887247,8.0,2.0,9.600000000000001,155095,154039,0.9931912698668558,0.2311190664768219,0.2392348051071167,-0.0081157386302948,-0.03894128841340837,0.04724593088030815,0.051078543066978455,-0.0038326121866703033,-0.07671087693753292
DE01,Mannheim,train,secondary,one_to_two_pixels_10_20m,retain_major_candidate,2963,74115.8320801909,12.0,10.0,19.200000000000003,9170,9053,0.9872410032715376,0.11517532914876938,0.12179429084062576,-0.006618961691856384,-0.04092668290437916,0.021933332085609436,0.023215508088469505,-0.0012821760028600693,-0.04131732027050014
DE01,Mannheim,train,secondary,subpixel_lt_10m,retain_major_candidate,13293,377244.2442450319,6.4,3.0,9.600000000000001,23965,23959,0.9997496348842061,0.08489136397838593,0.08739423751831055,-0.0025028735399246216,-0.029237648740543437,0.016709931194782257,0.01743621565401554,-0.000726284459233284,-0.040829197492411824
DE01,Mannheim,train,secondary_link,one_to_two_pixels_10_20m,retain_major_candidate,6,46.268432213379064,12.8,12.8,12.8,7,7,1.0,0.09463776648044586,0.10100121796131134,-0.0063634514808654785,-0.4175897676601737,0.016789192333817482,0.018223334103822708,-0.0014341417700052261,-0.21282378654074036
DE01,Mannheim,train,secondary_link,subpixel_lt_10m,retain_major_candidate,1771,20480.61680784269,3.2,3.2,9.600000000000001,907,907,1.0,0.0811016708612442,0.08536280691623688,-0.004261136054992676,-0.0658553352010308,0.014833354391157627,0.016268927603960037,-0.0014355732128024101,-0.12368807080760602
DE01,Mannheim,train,service,one_to_two_pixels_10_20m,likely_ignore_candidate,26,1044.6873595507536,10.5,10.0,10.5,109,109,1.0,0.08630069345235825,0.09549912065267563,-0.009198427200317383,-0.07362933360130942,0.02318604663014412,0.027932174503803253,-0.004746127873659134,-0.14860988762828684
DE01,Mannheim,train,service,subpixel_lt_10m,likely_ignore_candidate,97491,2261209.345395089,5.0,2.0,9.5,113797,111867,0.9830399746917757,0.17243191599845886,0.17863106727600098,-0.006199151277542114,-0.025777572227057375,0.03123580478131771,0.033591728657484055,-0.0023559238761663437,-0.054400805637743785
DE01,Mannheim,train,tertiary,one_to_two_pixels_10_20m,manual_review_candidate,4232,115379.27316862298,10.0,10.0,19.200000000000003,11900,11803,0.9918487394957983,0.15210473537445068,0.16190674901008606,-0.009802013635635376,-0.05392363328433932,0.030009493231773376,0.032517269253730774,-0.0025077760219573975,-0.05909871769119802
