city_id,city_name,split,osm_bare,dw_bare,ua_bare,accepted_ua_code,pixel_count,fraction_city_pixels,total_pixels,current_v3_pixels,current_v3_fraction,tier1_ua_dw_pixels,tier1_ua_dw_fraction,tier2_osm_dw_pixels,tier2_osm_dw_fraction,proposed_union_pixels,proposed_union_fraction,proposed_new_pixels,proposed_new_fraction,proposed_conflict_with_osm_building_road_water_pixels,proposed_conflict_with_osm_building_road_water_fraction,record_type
DE09,Dusseldorf,train,0,0,1,1,29386,0.003265111111111111,,,,,,,,,,,,,,
DE09,Dusseldorf,train,0,1,0,0,111,1.2333333333333333e-05,,,,,,,,,,,,,,
DE09,Dusseldorf,train,1,0,0,0,54483,0.006053666666666666,,,,,,,,,,,,,,
DE09,Dusseldorf,train,1,0,1,1,17137,0.0019041111111111112,,,,,,,,,,,,,,
DE09,Dusseldorf,train,1,1,0,0,23,2.5555555555555557e-06,,,,,,,,,,,,,,
DE09,Dusseldorf,train,1,1,1,1,55,6.111111111111111e-06,,,,,,,,,,,,,,
DE09,Dusseldorf,train,,,,,,,9000000,17192,0.0019102222222222222,55,6.111111111111111e-06,78,8.666666666666666e-06,17215,0.0019127777777777778,23,2.5555555555555557e-06,0,0.0,tier_summary
DE10,Dortmund,train,0,0,1,1,36930,0.004103333333333333,,,,,,,,,,,,,,
DE10,Dortmund,train,0,1,0,0,1,1.1111111111111111e-07,,,,,,,,,,,,,,
DE10,Dortmund,train,1,0,0,0,55997,0.006221888888888889,,,,,,,,,,,,,,
DE10,Dortmund,train,1,0,1,1,36767,0.004085222222222222,,,,,,,,,,,,,,
DE10,Dortmund,train,1,1,0,0,272,3.022222222222222e-05,,,,,,,,,,,,,,
DE10,Dortmund,train,,,,,,,9000000,36767,0.004085222222222222,0,0.0,272,3.022222222222222e-05,37039,0.004115444444444444,272,3.022222222222222e-05,0,0.0,tier_summary
DE11,Hamburg,train,0,0,1,1,37438,0.004159777777777778,,,,,,,,,,,,,,
DE11,Hamburg,train,0,1,0,0,11,1.2222222222222221e-06,,,,,,,,,,,,,,
DE11,Hamburg,train,1,0,0,0,62414,0.006934888888888889,,,,,,,,,,,,,,
DE11,Hamburg,train,1,0,1,1,35529,0.003947666666666667,,,,,,,,,,,,,,
DE11,Hamburg,train,1,1,0,0,49,5.444444444444445e-06,,,,,,,,,,,,,,
DE11,Hamburg,train,,,,,,,9000000,35529,0.003947666666666667,0,0.0,49,5.444444444444445e-06,35578,0.003953111111111111,49,5.444444444444445e-06,0,0.0,tier_summary
DE12,Bremen,train,0,0,1,1,16829,0.0018698888888888888,,,,,,,,,,,,,,
DE12,Bremen,train,1,0,0,0,45900,0.0051,,,,,,,,,,,,,,
DE12,Bremen,train,1,0,1,1,12528,0.001392,,,,,,,,,,,,,,
DE12,Bremen,train,,,,,,,9000000,12528,0.001392,0,0.0,0,0.0,12528,0.001392,0,0.0,0,0.0,tier_summary
DE13,Hanover,train,0,0,1,1,28994,0.0032215555555555556,,,,,,,,,,,,,,
DE13,Hanover,train,1,0,0,0,53669,0.005963222222222222,,,,,,,,,,,,,,
