class_id,class_name,ua,dw_confident,osm,ua_dw_agree,ua_osm_agree,dw_osm_agree,triple_agree,ua_fraction_all_pixels,dw_confident_fraction_all_pixels,osm_fraction_all_pixels,ua_dw_agree_fraction_all_pixels,ua_osm_agree_fraction_all_pixels,dw_osm_agree_fraction_all_pixels,triple_agree_fraction_all_pixels
1,buildings,0,597851,209831,0,0,123758,0,0.0,0.06642788888888888,0.023314555555555557,0.0,0.0,0.013750888888888889,0.0
2,roads,248718,0,205298,0,85401,0,0,0.027635333333333335,0.0,0.022810888888888887,0.0,0.009489,0.0,0.0
3,vegetation,6384973,1166752,5365038,1097914,5086239,1002968,963776,0.7094414444444445,0.12963911111111112,0.5961153333333333,0.12199044444444444,0.5651376666666666,0.1114408888888889,0.10708622222222222
4,bare_land,37671,97,36245,90,18566,97,90,0.0041856666666666665,1.0777777777777778e-05,0.004027222222222222,1e-05,0.002062888888888889,1.0777777777777778e-05,1e-05
5,water,410372,656853,973701,239275,379725,642163,230199,0.04559688888888889,0.07298366666666667,0.108189,0.026586111111111112,0.04219166666666667,0.07135144444444444,0.025577666666666665
