class_id,class_name,ua,dw_confident,osm,ua_dw_agree,ua_osm_agree,dw_osm_agree,triple_agree,ua_fraction_all_pixels,dw_confident_fraction_all_pixels,osm_fraction_all_pixels,ua_dw_agree_fraction_all_pixels,ua_osm_agree_fraction_all_pixels,dw_osm_agree_fraction_all_pixels,triple_agree_fraction_all_pixels
1,buildings,0,740639,166614,0,0,135364,0,0.0,0.08229322222222223,0.018512666666666667,0.0,0.0,0.015040444444444445,0.0
2,roads,182769,0,176972,0,94046,0,0,0.02030766666666667,0.0,0.019663555555555556,0.0,0.010449555555555556,0.0,0.0
3,vegetation,6311267,1993269,6354736,1926029,5951282,1808538,1758881,0.7012518888888889,0.22147433333333333,0.7060817777777778,0.21400322222222223,0.6612535555555555,0.20094866666666666,0.19543122222222223
4,bare_land,21305,66,16628,66,3102,0,0,0.0023672222222222224,7.333333333333333e-06,0.0018475555555555556,7.333333333333333e-06,0.0003446666666666667,0.0,0.0
5,water,184948,1266346,192241,147949,150117,127155,123354,0.020549777777777778,0.14070511111111111,0.02136011111111111,0.016438777777777778,0.016679666666666666,0.014128333333333333,0.013706
