class_id,class_name,ua,dw_confident,osm,ua_dw_agree,ua_osm_agree,dw_osm_agree,triple_agree,ua_fraction_all_pixels,dw_confident_fraction_all_pixels,osm_fraction_all_pixels,ua_dw_agree_fraction_all_pixels,ua_osm_agree_fraction_all_pixels,dw_osm_agree_fraction_all_pixels,triple_agree_fraction_all_pixels
1,buildings,0,1103529,489212,0,0,261864,0,0.0,0.12261433333333334,0.05435688888888889,0.0,0.0,0.029096,0.0
2,roads,368884,0,363936,0,160227,0,0,0.04098711111111111,0.0,0.04043733333333333,0.0,0.017803,0.0,0.0
3,vegetation,5791638,2354801,6332612,2047608,5473941,2287261,2003404,0.6435153333333333,0.26164455555555555,0.7036235555555556,0.227512,0.6082156666666667,0.2541401111111111,0.22260044444444443
4,bare_land,40048,129,51036,0,18994,129,0,0.004449777777777778,1.4333333333333334e-05,0.005670666666666667,0.0,0.0021104444444444443,1.4333333333333334e-05,0.0
5,water,54797,12833,84340,10739,47837,12773,10704,0.006088555555555555,0.0014258888888888889,0.009371111111111111,0.0011932222222222223,0.005315222222222222,0.0014192222222222223,0.0011893333333333333
