class_id,class_name,ua,dw_confident,osm,ua_dw_agree,ua_osm_agree,dw_osm_agree,triple_agree,ua_fraction_all_pixels,dw_confident_fraction_all_pixels,osm_fraction_all_pixels,ua_dw_agree_fraction_all_pixels,ua_osm_agree_fraction_all_pixels,dw_osm_agree_fraction_all_pixels,triple_agree_fraction_all_pixels
1,buildings,0,861135,378823,0,0,137765,0,0.0,0.09568166666666666,0.042091444444444445,0.0,0.0,0.015307222222222222,0.0
2,roads,433744,0,365957,0,176243,0,0,0.04819377777777778,0.0,0.040661888888888886,0.0,0.019582555555555554,0.0,0.0
3,vegetation,6162315,1126029,6126288,1084958,5629215,937578,912848,0.6847016666666667,0.12511433333333333,0.6806986666666667,0.12055088888888889,0.6254683333333333,0.10417533333333333,0.10142755555555556
4,bare_land,48850,3,53408,3,18430,3,3,0.005427777777777778,3.3333333333333335e-07,0.005934222222222222,3.3333333333333335e-07,0.0020477777777777777,3.3333333333333335e-07,3.3333333333333335e-07
5,water,129678,43128,142753,43064,117373,43021,42985,0.014408666666666667,0.004792,0.015861444444444445,0.004784888888888889,0.013041444444444444,0.004780111111111111,0.004776111111111111
