class_id,class_name,ua,dw_confident,osm,ua_dw_agree,ua_osm_agree,dw_osm_agree,triple_agree,ua_fraction_all_pixels,dw_confident_fraction_all_pixels,osm_fraction_all_pixels,ua_dw_agree_fraction_all_pixels,ua_osm_agree_fraction_all_pixels,dw_osm_agree_fraction_all_pixels,triple_agree_fraction_all_pixels
1,buildings,0,944064,243938,0,0,219942,0,0.0,0.104896,0.02710422222222222,0.0,0.0,0.024438,0.0
2,roads,241859,0,218325,0,88137,0,0,0.026873222222222222,0.0,0.024258333333333333,0.0,0.009793,0.0,0.0
3,vegetation,7530413,3629580,7410473,3550805,6996035,3490121,3419765,0.8367125555555556,0.4032866666666667,0.8233858888888889,0.3945338888888889,0.7773372222222222,0.38779122222222223,0.3799738888888889
4,bare_land,17918,164,25828,164,6384,164,164,0.001990888888888889,1.822222222222222e-05,0.002869777777777778,1.822222222222222e-05,0.0007093333333333333,1.822222222222222e-05,1.822222222222222e-05
5,water,27605,15306,43204,14358,24193,15247,14330,0.003067222222222222,0.0017006666666666667,0.004800444444444445,0.0015953333333333334,0.002688111111111111,0.001694111111111111,0.0015922222222222223
