class_id,class_name,ua,dw_confident,osm,ua_dw_agree,ua_osm_agree,dw_osm_agree,triple_agree,ua_fraction_all_pixels,dw_confident_fraction_all_pixels,osm_fraction_all_pixels,ua_dw_agree_fraction_all_pixels,ua_osm_agree_fraction_all_pixels,dw_osm_agree_fraction_all_pixels,triple_agree_fraction_all_pixels
1,buildings,0,1654414,363897,0,0,312334,0,0.0,0.18382377777777778,0.040433,0.0,0.0,0.03470377777777778,0.0
2,roads,393729,0,323762,0,147729,0,0,0.043747666666666664,0.0,0.03597355555555556,0.0,0.016414333333333333,0.0,0.0
3,vegetation,5914025,1816303,6097020,1729842,5407107,1693031,1630176,0.6571138888888889,0.20181144444444443,0.6774466666666666,0.19220466666666666,0.6007896666666667,0.18811455555555556,0.18113066666666666
4,bare_land,95776,2,72747,2,32637,0,0,0.010641777777777778,2.2222222222222222e-07,0.008083,2.2222222222222222e-07,0.0036263333333333334,0.0,0.0
5,water,364852,314923,385396,309238,343340,313027,308539,0.04053911111111111,0.03499144444444444,0.04282177777777778,0.03435977777777778,0.03814888888888889,0.03478077777777778,0.03428211111111111
