class_id,class_name,ua,dw_confident,osm,ua_dw_agree,ua_osm_agree,dw_osm_agree,triple_agree,ua_fraction_all_pixels,dw_confident_fraction_all_pixels,osm_fraction_all_pixels,ua_dw_agree_fraction_all_pixels,ua_osm_agree_fraction_all_pixels,dw_osm_agree_fraction_all_pixels,triple_agree_fraction_all_pixels
1,buildings,0,2940095,758441,0,0,700963,0,0.0,0.32667722222222223,0.08427122222222222,0.0,0.0,0.07788477777777777,0.0
2,roads,662164,0,524385,0,287050,0,0,0.07357377777777778,0.0,0.058265,0.0,0.03189444444444445,0.0,0.0
3,vegetation,4480369,2431734,4644372,2274384,4044726,2284175,2173055,0.4978187777777778,0.2701926666666667,0.5160413333333334,0.25270933333333334,0.449414,0.25379722222222223,0.24145055555555556
4,bare_land,106035,136,119478,121,66087,128,121,0.011781666666666666,1.511111111111111e-05,0.013275333333333333,1.3444444444444445e-05,0.007343,1.4222222222222222e-05,1.3444444444444445e-05
5,water,303659,246484,320727,236443,281917,244515,235881,0.03373988888888889,0.027387111111111112,0.03563633333333333,0.026271444444444444,0.03132411111111111,0.027168333333333333,0.026209
