class_id,class_name,ua,dw_confident,osm,ua_dw_agree,ua_osm_agree,dw_osm_agree,triple_agree,ua_fraction_all_pixels,dw_confident_fraction_all_pixels,osm_fraction_all_pixels,ua_dw_agree_fraction_all_pixels,ua_osm_agree_fraction_all_pixels,dw_osm_agree_fraction_all_pixels,triple_agree_fraction_all_pixels
1,buildings,0,2399629,689010,0,0,581650,0,0.0,0.26662544444444447,0.07655666666666666,0.0,0.0,0.06462777777777778,0.0
2,roads,585558,0,481161,0,253240,0,0,0.065062,0.0,0.053462333333333334,0.0,0.02813777777777778,0.0,0.0
3,vegetation,5259012,2635904,5373507,2561352,4870364,2568093,2508831,0.5843346666666667,0.2928782222222222,0.5970563333333333,0.28459466666666666,0.5411515555555556,0.28534366666666666,0.278759
4,bare_land,91166,71,97330,69,37858,71,69,0.010129555555555555,7.88888888888889e-06,0.010814444444444444,7.666666666666667e-06,0.004206444444444444,7.88888888888889e-06,7.666666666666667e-06
5,water,170095,88740,165398,87032,144656,87108,85740,0.018899444444444444,0.00986,0.018377555555555557,0.009670222222222222,0.01607288888888889,0.009678666666666667,0.009526666666666666
