class_id,class_name,ua,dw_confident,osm,ua_dw_agree,ua_osm_agree,dw_osm_agree,triple_agree,ua_fraction_all_pixels,dw_confident_fraction_all_pixels,osm_fraction_all_pixels,ua_dw_agree_fraction_all_pixels,ua_osm_agree_fraction_all_pixels,dw_osm_agree_fraction_all_pixels,triple_agree_fraction_all_pixels
1,buildings,0,423715,492834,0,0,82853,0,0.0,0.047079444444444445,0.054759333333333333,0.0,0.0,0.009205888888888888,0.0
2,roads,404386,0,350300,0,191133,0,0,0.04493177777777778,0.0,0.03892222222222222,0.0,0.021237,0.0,0.0
3,vegetation,5854175,366776,5543371,345418,5137344,323997,315186,0.6504638888888888,0.04075288888888889,0.6159301111111111,0.03837977777777778,0.570816,0.035999666666666666,0.035020666666666665
4,bare_land,29357,0,58428,0,12528,0,0,0.003261888888888889,0.0,0.006492,0.0,0.001392,0.0,0.0
5,water,231893,27351,297048,27279,214476,27331,27269,0.02576588888888889,0.003039,0.03300533333333333,0.003031,0.023830666666666667,0.0030367777777777776,0.003029888888888889
