class_id,class_name,ua,dw_confident,osm,ua_dw_agree,ua_osm_agree,dw_osm_agree,triple_agree,ua_fraction_all_pixels,dw_confident_fraction_all_pixels,osm_fraction_all_pixels,ua_dw_agree_fraction_all_pixels,ua_osm_agree_fraction_all_pixels,dw_osm_agree_fraction_all_pixels,triple_agree_fraction_all_pixels
1,buildings,0,2727003,665587,0,0,587134,0,0.0,0.3030003333333333,0.07395411111111111,0.0,0.0,0.0652371111111111,0.0
2,roads,616449,0,545651,0,301933,0,0,0.06849433333333334,0.0,0.06062788888888889,0.0,0.03354811111111111,0.0,0.0
3,vegetation,4437587,2034657,4971363,1770861,4034594,1912747,1693260,0.4930652222222222,0.226073,0.5523736666666667,0.19676233333333334,0.4482882222222222,0.21252744444444444,0.18814
4,bare_land,73697,273,93036,0,36767,272,0,0.008188555555555555,3.0333333333333333e-05,0.010337333333333334,0.0,0.004085222222222222,3.022222222222222e-05,0.0
5,water,124833,59758,153983,58533,112465,58980,58152,0.013870333333333333,0.006639777777777777,0.017109222222222224,0.006503666666666666,0.01249611111111111,0.006553333333333334,0.006461333333333334
