city_id,code_2021,class_2021,total,osm_0,osm_1,osm_2,osm_3,osm_4,osm_5,dw_0,dw_1,dw_2,dw_3,dw_4,dw_5,osm_bare_and_dw_bare,osm_bare_fraction,dw_bare_fraction,osm_bare_and_dw_bare_fraction
DE03,11100,Continuous urban fabric,136815,69875,49686,12975,3509,684,86,5122,131667,0,26,0,0,0,0.0049994518144940246,0.0,0.0
DE03,11210,Discontinuous dense urban fabric,516956,327011,125830,39322,23034,1247,512,37783,477747,0,1426,0,0,0,0.0024121975564651535,0.0,0.0
DE03,11220,Discontinuous medium density urban fabric,175301,112955,32599,11069,18115,314,249,33611,140391,0,1277,0,22,0,0.0017912048419575473,0.0,0.0
DE03,11230,Discontinuous low density urban fabric,23062,12001,2861,1236,6901,13,50,8861,13672,0,529,0,0,0,0.0005636978579481398,0.0,0.0
DE03,11240,Discontinuous very low density urban fabric,10535,934,223,322,9002,18,36,6445,2802,0,1288,0,0,0,0.0017085904129093498,0.0,0.0
DE03,11300,Isolated structures,20948,8055,1891,553,10278,81,90,15874,2620,0,2443,0,11,0,0.00386671758640443,0.0,0.0
DE03,12100,Industrial/commercial/public/military/private units,514476,274531,135013,44425,45428,9621,5458,133741,376405,0,4136,0,194,0,0.01870058078510951,0.0,0.0
DE03,12210,Fast transit roads,48906,13293,19,20938,14231,3,422,44559,3583,0,758,0,6,0,6.13421666053245e-05,0.0,0.0
DE03,12220,Other roads,260075,73090,7558,117231,61527,398,271,87602,141168,0,31305,0,0,0,0.0015303277900605595,0.0,0.0
DE03,12230,Railways,52943,36286,1261,2208,12776,340,72,31821,17915,0,3168,0,39,0,0.0064220010199648675,0.0,0.0
DE03,12300,Port areas,15043,9656,3490,1169,336,31,361,4162,10824,0,0,0,57,0,0.0020607591570830286,0.0,0.0
DE03,13100,Mineral extraction and dump sites,26284,10577,569,975,3147,9363,1653,19735,4340,0,654,10,1545,9,0.3562243189773246,0.0003804595951909907,0.00034241363567189166
DE03,13300,Construction sites,8924,5264,778,565,725,1493,99,5165,3655,0,24,0,80,0,0.16730165844912595,0.0,0.0
DE03,13400,Land without current use,12755,3952,312,683,7338,262,208,8484,3858,0,413,0,0,0,0.02054096432771462,0.0,0.0
DE03,14110,Green urban areas - public,71128,26101,1411,3367,38417,441,1391,39516,23175,0,8430,0,7,0,0.006200089978630075,0.0,0.0
DE03,14120,Green urban areas - private,95,3,0,2,90,0,0,8,87,0,0,0,0,0,0.0,0.0,0.0
DE03,14130,Green urban areas - unknown access,1933,1340,33,36,495,10,19,862,1050,0,21,0,0,0,0.005173305742369374,0.0,0.0
DE03,14200,Sports and leisure facilities,176205,62776,7665,5248,95836,3205,1475,114751,55370,0,6053,0,31,0,0.018189041173632986,0.0,0.0
DE03,21000,Arable land,2207632,127987,1289,10542,2058933,5211,3670,1755251,19308,0,431753,0,1320,0,0.0023604477557853847,0.0,0.0
DE03,22000,Permanent crops,9320,1931,5,62,7259,0,63,7511,181,0,1628,0,0,0,0.0,0.0,0.0
DE03,23000,Pastures,438011,42249,335,1973,390058,1969,1427,378910,4705,0,53982,0,414,0,0.0044953208937675085,0.0,0.0
DE03,31000,Forests,3064102,69755,989,8355,2966162,1784,17057,321653,4247,0,2736926,0,1276,0,0.0005822260486106533,0.0,0.0
DE03,32000,Herbaceous vegetation,5774,982,7,21,3635,994,135,4422,45,0,1192,0,115,0,0.17215102182196051,0.0,0.0
DE03,33000,Open spaces with little/no vegetation,806,261,1,4,342,106,92,562,53,0,39,0,152,0,0.1315136476426799,0.0,0.0
DE03,40000,Wetlands,5799,760,1,4,4437,0,597,4442,0,0,1357,0,0,0,0.0,0.0,0.0
DE03,50000,Water,292146,6956,43,343,20299,551,263954,69057,1150,0,10931,0,211008,0,0.001886043279729998,0.0,0.0
