variant,city_id,city_name,split,road_policy,stable_bare,buildings_pixels,roads_pixels,vegetation_pixels,bare_land_pixels,water_pixels,ignore_pixels,valid_pixels,total_pixels,removed_valid_pixels_vs_v3,retained_valid_fraction_vs_v3,retained_road_fraction_vs_v3,retained_bare_fraction_vs_v3
v3_control,DE07,Frankfurt,train,none,0,655850,462725,4961370,11153,97083,2811819,6188181,9000000,0,1.0,1.0,1.0
v31_stable_bare_only,DE07,Frankfurt,train,none,1,655850,462725,4961370,7597,97083,2815375,6184625,9000000,3556,0.9994253561749405,1.0,0.6811620191876625
v31_resolution_road_only,DE07,Frankfurt,train,resolution_aware,0,655850,41886,4961370,11153,97083,3232658,5767342,9000000,420839,0.9319931010421317,0.09052028742773786,1.0
v31_major_road_only,DE07,Frankfurt,train,high_precision_major,0,655850,28486,4961370,11153,97083,3246058,5753942,9000000,434239,0.9298276828037189,0.06156140256091631,1.0
v31_resolution_road_stable_bare,DE07,Frankfurt,train,resolution_aware,1,655850,41886,4961370,7597,97083,3236214,5763786,9000000,424395,0.9314184572170724,0.09052028742773786,0.6811620191876625
v31_major_road_stable_bare,DE07,Frankfurt,train,high_precision_major,1,655850,28486,4961370,7597,97083,3249614,5750386,9000000,437795,0.9292530389786595,0.06156140256091631,0.6811620191876625
v3_control,DE08,Cologne,train,none,0,758441,524385,4251618,66087,291069,3108400,5891600,9000000,0,1.0,1.0,1.0
v31_stable_bare_only,DE08,Cologne,train,none,1,758441,524385,4251618,64429,291069,3110058,5889942,9000000,1658,0.9997185823884853,1.0,0.9749118586106194
v31_resolution_road_only,DE08,Cologne,train,resolution_aware,0,758441,43347,4251618,66087,291069,3589438,5410562,9000000,481038,0.918351890827619,0.08266254755570812,1.0
v31_major_road_only,DE08,Cologne,train,high_precision_major,0,758441,23806,4251618,66087,291069,3608979,5391021,9000000,500579,0.9150351347681445,0.04539794235151654,1.0
v31_resolution_road_stable_bare,DE08,Cologne,train,resolution_aware,1,758441,43347,4251618,64429,291069,3591096,5408904,9000000,482696,0.9180704732161042,0.08266254755570812,0.9749118586106194
v31_major_road_stable_bare,DE08,Cologne,train,high_precision_major,1,758441,23806,4251618,64429,291069,3610637,5389363,9000000,502237,0.9147537171566298,0.04539794235151654,0.9749118586106194
v3_control,DE09,Dusseldorf,train,none,0,722402,504515,4291704,17192,290969,3173218,5826782,9000000,0,1.0,1.0,1.0
v31_stable_bare_only,DE09,Dusseldorf,train,none,1,722402,504515,4291704,14706,290969,3175704,5824296,9000000,2486,0.9995733494062418,1.0,0.8553978594695207
v31_resolution_road_only,DE09,Dusseldorf,train,resolution_aware,0,722402,33636,4291704,17192,290969,3644097,5355903,9000000,470879,0.9191871259298872,0.06666997016937058,1.0
v31_major_road_only,DE09,Dusseldorf,train,high_precision_major,0,722402,21445,4291704,17192,290969,3656288,5343712,9000000,483070,0.9170948904558297,0.042506169291299564,1.0
v31_resolution_road_stable_bare,DE09,Dusseldorf,train,resolution_aware,1,722402,33636,4291704,14706,290969,3646583,5353417,9000000,473365,0.9187604753361289,0.06666997016937058,0.8553978594695207
v31_major_road_stable_bare,DE09,Dusseldorf,train,high_precision_major,1,722402,21445,4291704,14706,290969,3658774,5341226,9000000,485556,0.9166682398620714,0.042506169291299564,0.8553978594695207
v3_control,DE10,Dortmund,train,none,0,665587,545651,4325951,36767,113663,3312381,5687619,9000000,0,1.0,1.0,1.0
v31_stable_bare_only,DE10,Dortmund,train,none,1,665587,545651,4325951,28713,113663,3320435,5679565,9000000,8054,0.9985839417162085,1.0,0.7809448690401719
v31_resolution_road_only,DE10,Dortmund,train,resolution_aware,0,665587,26100,4325951,36767,113663,3831932,5168068,9000000,519551,0.9086522849016434,0.04783277222986854,1.0
v31_major_road_only,DE10,Dortmund,train,high_precision_major,0,665587,9694,4325951,36767,113663,3848338,5151662,9000000,535957,0.9057677738259191,0.01776593463587531,1.0
