city_id,city_name,status,input_file,output_file,utm_epsg,return_code,duration_seconds,validation,log_file,error,aoi_file,subset_buffer_km
DE01,Mannheim,skipped_valid,D:\2026\ADSA\11. Case Studies 2\Project Code\Urban-Landcover-Segmentation\data\raw\sentinel1\DE01_Mannheim\S1A_IW_GRDH_1SDV_20250713T054243_20250713T054308_060061_077642_5B05_COG.SAFE.zip,D:\2026\ADSA\11. Case Studies 2\Project Code\Urban-Landcover-Segmentation\data\interim\sar_buffered\DE01_Mannheim\DE01_Mannheim_S1_TC_buffered.tif,32632,0,0.0,valid,metadata\snap_logs\DE01_Mannheim_gpt.log,,,
DE05,Munich,processed_valid,D:\2026\ADSA\11. Case Studies 2\Project Code\Urban-Landcover-Segmentation\data\raw\sentinel1\DE05_Munich\S1A_IW_GRDH_1SDV_20250711T170738_20250711T170803_060039_077585_136D_COG.SAFE.zip,D:\2026\ADSA\11. Case Studies 2\Project Code\Urban-Landcover-Segmentation\data\interim\sar_buffered\DE05_Munich\DE05_Munich_S1_TC_buffered.tif,32632,0,418.1452696999986,valid,metadata\snap_logs\DE05_Munich_gpt.log,,D:\2026\ADSA\11. Case Studies 2\Project Code\Urban-Landcover-Segmentation\data\aoi\cities\DE05_Munich_aoi.gpkg,5.0
DE14,Berlin,processed_valid,D:\2026\ADSA\11. Case Studies 2\Project Code\Urban-Landcover-Segmentation\data\raw\sentinel1\DE14_Berlin\S1A_IW_GRDH_1SDV_20250713T165226_20250713T165251_060068_077680_23C1_COG.SAFE.zip,D:\2026\ADSA\11. Case Studies 2\Project Code\Urban-Landcover-Segmentation\data\interim\sar_buffered\DE14_Berlin\DE14_Berlin_S1_TC_buffered.tif,32633,0,339.06473439999536,valid,metadata\snap_logs\DE14_Berlin_gpt.log,,D:\2026\ADSA\11. Case Studies 2\Project Code\Urban-Landcover-Segmentation\data\aoi\cities\DE14_Berlin_aoi.gpkg,5.0
DE18,Freiburg,processed_valid,D:\2026\ADSA\11. Case Studies 2\Project Code\Urban-Landcover-Segmentation\data\raw\sentinel1\DE18_Freiburg\S1A_IW_GRDH_1SDV_20250713T054308_20250713T054333_060061_077642_67A5_COG.SAFE.zip,D:\2026\ADSA\11. Case Studies 2\Project Code\Urban-Landcover-Segmentation\data\interim\sar_buffered\DE18_Freiburg\DE18_Freiburg_S1_TC_buffered.tif,32632,0,248.36334180000267,valid,metadata\snap_logs\DE18_Freiburg_gpt.log,,D:\2026\ADSA\11. Case Studies 2\Project Code\Urban-Landcover-Segmentation\data\aoi\cities\DE18_Freiburg_aoi.gpkg,5.0
