split,metric,population,quantile,value,population_tile_count
all,vegetation_fraction_valid,all_tiles,0.25,0.7032615536408962,2880
all,vegetation_fraction_valid,all_tiles,0.5,0.8795433395525115,2880
all,vegetation_fraction_valid,all_tiles,0.75,0.9565440533622133,2880
all,vegetation_fraction_valid,all_tiles,0.9,0.9822986018435055,2880
all,vegetation_fraction_valid,all_tiles,0.95,0.9905765592916336,2880
all,vegetation_fraction_valid,all_tiles,0.99,0.9986279392423967,2880
all,vegetation_fraction_valid,all_tiles,1.0,1.0,2880
all,vegetation_fraction_valid,positive_tiles,0.0,0.000384172109104879,2865
all,vegetation_fraction_valid,positive_tiles,0.25,0.7065006515129578,2865
all,vegetation_fraction_valid,positive_tiles,0.5,0.8807937575127844,2865
all,vegetation_fraction_valid,positive_tiles,0.75,0.956870219680864,2865
all,vegetation_fraction_valid,positive_tiles,0.9,0.982332902668055,2865
all,vegetation_fraction_valid,positive_tiles,0.95,0.9906043682580783,2865
all,vegetation_fraction_valid,positive_tiles,0.99,0.9986293271635448,2865
all,vegetation_fraction_valid,positive_tiles,1.0,1.0,2865
all,bare_land_fraction_valid,all_tiles,0.0,0.0,2880
all,bare_land_fraction_valid,all_tiles,0.25,0.0,2880
all,bare_land_fraction_valid,all_tiles,0.5,0.0,2880
all,bare_land_fraction_valid,all_tiles,0.75,0.0,2880
all,bare_land_fraction_valid,all_tiles,0.9,0.0034671001535001005,2880
all,bare_land_fraction_valid,all_tiles,0.95,0.01669445847348971,2880
all,bare_land_fraction_valid,all_tiles,0.99,0.0703609112760708,2880
all,bare_land_fraction_valid,all_tiles,1.0,0.38029460301937534,2880
all,bare_land_fraction_valid,positive_tiles,0.0,2.540263171264543e-05,419
all,bare_land_fraction_valid,positive_tiles,0.25,0.002566755782413457,419
all,bare_land_fraction_valid,positive_tiles,0.5,0.008350730688935281,419
all,bare_land_fraction_valid,positive_tiles,0.75,0.025376678876088028,419
all,bare_land_fraction_valid,positive_tiles,0.9,0.05570725312912738,419
all,bare_land_fraction_valid,positive_tiles,0.95,0.08512830387938922,419
all,bare_land_fraction_valid,positive_tiles,0.99,0.18600958711136947,419
all,bare_land_fraction_valid,positive_tiles,1.0,0.38029460301937534,419
all,water_fraction_valid,all_tiles,0.0,0.0,2880
all,water_fraction_valid,all_tiles,0.25,0.0,2880
all,water_fraction_valid,all_tiles,0.5,0.0012284130835371887,2880
